title,ncode,writer,story,biggenre,genre,keyword,length
醜いと虐げられていた私を本当の家族が迎えに来ました,N8100IL,マチバリ,家族とひとりだけ姿が違うことで醜いと虐げられていた女の子が本当の家族に見つけてもらう物語,1,101,虐げられヒロイン ハッピーエンド,11349
隠れ転生勇者　～チートスキルと勇者ジョブを隠して第二の人生を楽しんでやる！～,N8021HU,大野半兵衛／なんじゃもんじゃ,"　ある日、勇者召喚が行なわれたが、主人公だけは転生してしまった。　　　
　容姿が変わった彼はトーイと名乗り、異世界を自由に生きることにした。　　　
　転生したトーイはひょんなことから売れ残った老婆の奴隷アンネリーセを購入する。そのアンネリーセを買って最期を看取ってやるつもりでいたが、アンネリーセの本当の姿は絶世の美少女だった。　　　

　その世界にはダンジョンがあり、トーイはアンネリーセと共にダンジョン探索をする。探索者として先輩のアンネリーセにアドバイスを受けつつトーイは徐々に成長していき、いつしか人類最強へと至るのだった。　　　

　転生したことでトーイが得た能力は、ステータスを自由に見る能力、ジョブを自由に変えられる能力、そしてユニークスキルの詳細鑑定とアイテムボックスだった。チートと言うほどチートではないそれらの能力を駆使してトーイは成長していく。

　★2023年8月25日　コミカライズ「ComicWalker」と「ニコニコ静画」更新開始
　★2023年7月25日　小説１巻発売
",2,201,R15 残酷な描写あり 異世界転生 異世界転移 冒険 ダンジョン ジョブ スキル ユニークスキル クラス召喚 召喚拒否で転生 チート 奴隷 美少女 書籍化 コミカライズ,534902
あなたがそのつもりなら〜婚約者は駆け落ちしました〜,N6855IL,白崎りか,"「君を愛している！　俺には君だけだ」
「いけないわ。あなたには婚約者がいるのに」
「この気持ちは、誰にも止められない！」

婚約者と侍女のラブシーンをのぞき見て、小説の世界に転生していたんだって気がついた。
私の役どころは、二人の恋の障害となる婚約者の邪魔者令嬢。
ご都合主義の恋愛小説では、この後、邪魔者令嬢は庭師と駆け落ちして、勝手に消えてくれるんだけど。

私は絶対、そんなことはしない。
もしかして、私は駆け落ちしたことにされて、消されちゃうの？

あなたがそのつもりなら、私も……。

※アルファポリス様にも投稿しています。",1,101,異世界転生 ハッピーエンド 貴族 美形 婚約者 女主人公,8309
幽閉令嬢の気ままな異世界生活～転生ライフをエンジョイしているので、邪魔しに来ないでくれませんか、元婚約者様？,N0351IM,狭山ひびき@バカふり（ノベル）3巻、今冬発売予定！,"前世の記憶を持つアドリアーナはこの世界が乙女ゲームの世界で、自分が悪役令嬢だということを知っていた。乙女ゲームにありがちな学園物のストーリーで、卒業前のプロムで全生徒を前に悪役令嬢が断罪されて、ヒーローとヒロインが結ばれるというありがちなストーリーだ。

「でも、悪役令嬢はヒロインを虐げるから悪役令嬢なんであって、何もしなければ悪役令嬢になるはずもないわよね？」

ここはゲームの世界のようだが現実なので、ありえない罪で裁かれるはずもないとアドリアーナは楽観的に考える。むしろ容姿端麗成績優秀、お金持ちで公爵令嬢で王太子の婚約者というハイスペックなアドリアーナに転生したことを喜ぶべきではないのか！

そんな風に思っていたアドリアーナだったが、十歳の時に婚約したヴァルフレードを前に、妄想していたハッピーライフは砕け散った。どうやらヴァルフレードはアドリアーナとの婚約が嫌で嫌で仕方がないらしい。アドリアーナとの婚約は政治的なバランスを考えて整えられた政略結婚なので恋愛感情が伴わなくても致し方ないが、夢見る乙女のような少年ヴァルフレードは、自分が好きな女性と結婚したかったのにとことあるごとにアドリアーナを詰った。

アドリアーナは自分の未来に絶望したが、学園に入学後、彼女はもっと大きな絶望を知ることになった。

アドリアーナは何もしていないのに、あっという間にヒロイン・クレーリアを虐げている性悪女だと噂になったのだ。何をしようとも状況は改善せず、悪化の一途をたどる。そしてついに訪れたプロムで、アドリアーナは婚約者ヴァルフレードから婚約破棄と東の辺境にある離宮への幽閉が言い渡された。
茫然とするアドリアーナ。しかし、アドリアーナはよく考えてみる。ヴァルフレードとの婚約破棄は、願ったりだ。そして、命が取られるわけでもない。

「ゲームはこれでエンディングだし、これ以上わたしが巻き込まれることはないわよね」。
アドリアーナは心機一転、幽閉先で悠々自適な生活を送ることを目指そうと、うきうきと幽閉先へ向かったが――

「クレーリアの能力が足りないからわたしに側妃になれってふざけてんのか‼」

しばらくして送り付けられてきたヴァルフレードの手紙にアドリアーナはブチ切れる。

それどころか「ずっとアドリアーナが好きだったんだ」と遠縁で幼馴染のジラルドまでやってくる始末で……。",1,101,異世界転生 乙女ゲーム 悪役令嬢 ざまあ 幽閉 断罪後 幼馴染 ハッピーエンド もう遅い,42135
『呪われた公王』へ押し付けられた召喚聖女,N3587IL,無生物,"とある目的により16才で召喚され王太子の婚約者とされたのに10年間冷遇され続けた末、王太子が「幼馴染みと結婚したいから」と捨てられた聖女。
遥か昔に救国のため呪いを受けた大公爵の血筋で在る、醜い――『呪われた公王』へ強制的に嫁がされてからの話。

「好きにお過ごし下さい」と言われたので、お言葉に甘えて好きに過ごしまーす。


【追記】2023/10/10 19:07
※何でも許せる方向けです。
『何でも許せる方向け』を理解できない方はブラウザバック推奨。",1,101,異世界転移 シリアス ほのぼの 女主人公 ハッピーエンド 聖女 異世界召喚 呪い 冷遇されてた 溺愛要素 執着 小学館ＦＴノベル賞,10630
幼馴染の婚約者に浮気された伯爵令嬢は、ずっと君が好きだったという王太子殿下と期間限定の婚約をする。,N7236IK,束原ミヤコ,"伯爵令嬢リーシャは結婚式を直前に控えたある日、婚約者である公爵家長男のクリストファーが、リーシャの友人のシルキーと浮気をしている場面に遭遇してしまう。
その場で浮気を糾弾したリーシャは、クリストファーから婚約の解消を告げられる。
悲しみにくれてやけになって酒場に駆け込んだリーシャは、男たちに絡まれてしまう。
酒場にいた仮面をつけた男性──黒騎士ゼスと呼ばれている有名な冒険者にリーシャは助けられる。
それからしばらくして、誰とも結婚しないで仕官先を探そうと奔走していたリーシャの元に、王家から手紙が届く。
それは、王太子殿下の侍女にならないかという誘いの手紙だった。
城に出向いたリーシャを出迎えてくれたのは、黒騎士ゼス。
黒騎士ゼスの正体は、王太子ゼフィラスであり、彼は言う。
一年前に街で見かけた時から、リーシャのことが好きだったのだと。
もう誰も好きにならないと決めたリーシャにゼフィラスは持ちかける。
「婚約者のふりをしてみないか。もしリーシャが一年以内に俺を好きにならなければ、諦める」と。",1,101,ハッピーエンド 婚約解消 婚約破棄 浮気 王太子 伯爵令嬢 溺愛 ざまぁ,124525
婚約者は私にだけ無表情,N0991IM,みわかず,"私の婚約者様は私にだけ無表情なのです。
",1,101,女主人公 ヒーローは無表情 当て馬は巨乳 ざまあ少々 わりと溺愛 ハッピーエンド,4122
誰が勇者を殺したか,N1052IB,駄犬,"「この村から魔王を倒す勇者が現れる」

そう告げた預言者がいた。
村はその預言を信じた。
何故なら、村には剣と魔法に秀でた少年がいたからだ。
８年後、少年は勇者となり、魔王を倒した。だが、それと同時に勇者は帰らぬ人となった。

勇者は何故死んだのか？

その死から４年後、勇者の功績を文献にまとめていくうちに、その真実が明らかになろうとしていた。

※2023年9月29日、スニーカー文庫より書籍化。",2,201,ヒストリカル オリジナル戦記 ミステリー,73737
可憐な公爵令嬢が、婚約相手によって森に捨てられたという話だが。,N8149IL,みこと。@【とばり姫コミカライズ発売中】,"「ワガママなグレイス・フェンデール公爵令嬢に反省を促すため、魔獣討伐の演習場に連れていけ！」

学園の討伐演習終了後、そこは魔獣が駆逐されたはずの場所だったが…。
婚約相手であるカリクス王子の指示によって、&quot;グレイス&quot;は演習場に隣接する&quot;魔獣の森&quot;に捨てられてしまう。
王子には婚約者以外に恋人のリタがいて、邪魔なグレイスを事故死に見せかけ、排除する目論見だった！

森で魔獣と遭遇し絶体絶命の&quot;グレイス&quot;に、通りかかった隣国からの迷子な貴公子。

「えっ、迷子期間中、何も召し上がってらっしゃらない？　パンをどうぞ」
「ご令嬢、このパンどこから出されました？　お胸が片方無くなってますが──？！」

実はフェンデール家は国一番の武門の家系。素直に捨てられた&quot;グレイス&quot;にも思惑があった。
気軽に読める5500文字です。ハッピーエンドをお楽しみください。",1,101,ヒストリカル 婚約破棄 ゆるふわ設定 ファンタジー 王子/令嬢 フェンデール家は双子 兄 女装 ハッピーエンド 感想欄ネタバレ 微ざまぁ/ざまあ？ by.みこと。,5535
【連載版始めました！】偽者に奪われた聖女の地位、なんとしても取り返さ……なくていっか！　～奪ってくれてありがとう。これから私は自由に生きます～,N8335IL,日之影ソラ,"【連載版スタートしました！】
https://ncode.syosetu.com/n9071il/

異世界で村娘に転生したイリアスには、聖女の力が宿っていた。本来スローレン公爵家に生まれるはずの聖女が一般人から生まれた事実を隠すべく、八歳の頃にスローレン公爵家に養子として迎え入れられるイリアス。
貴族としての振る舞い方や作法、聖女の在り方をみっちり教育され、家の人間や王族から厳しい目で見られ大変な日々を送る。そんなある日、事件は起こった。
イリアスと見た目はそっくり、聖女の力？も使えるもう一人のイリアスが現れ、自分こそが本物のイリアスだと主張し、婚約者の王子ですら彼女の味方をする。
このままじゃ聖女の地位が奪われてしまう。何とかして取り戻そう……ん？

別にいっか！
聖女じゃないなら自由に生きさせてもらいますね！

重圧、パワハラから解放された聖女の第二の人生がスタートする！！",1,101,異世界転生 身分差 日常 ヒーロー ラブコメ 女主人公 ハッピーエンド 追放 ざまぁ系 婚約破棄 パワハラ 聖女 運命の出会い 乗っ取り 隣国の王子様 もう遅い,12632
肉食令嬢は、肉のために結婚した。【連載版始めました】,N0898IM,笛路,"クラウディアは、肉をこよなく愛する『肉食令嬢』。
恋人よりも、肉。
結婚よりも、肉。

自らも狩りをし、調理し、肉料理に舌鼓を打つ、幸せな生活をしていたある日、父親から言われた『狩猟民族』しか嫁入り先がないという言葉。

――――狩猟民族！？　お肉、食べ放題じゃないの！

クラウディアは、肉のために結婚を決意した…………。



＊＊＊＊＊＊



閲覧ありがとうございます！
ブクマや評価などいただけますと、作者のモチベーションになりますですヽ(=´▽`=)ノ",1,101,R15 残酷な描写あり ギャグ 女主人公 西洋 近世 肉食令嬢 肉のために結婚,6400
ドッキリで国民的アイドルに告白されたけど断りました。おかげで学校生活が一変して困ってます。,N8660IL,やる鹿,"俺（雪見）は普通の高校二年生。ファミレスでアルバイトをしている。

ある日、バイト終わりに帰宅中、突然アイドルから告白されてしまう。

当然断ったがどうやら何かの撮影(ドッキリ？)だったみたいで慌ててOKする演技をした。

ふぅ、危なかった。

俺みたいな一般人に振られるなんて、アイドルの子が傷つくところだった。

だが上手く演技したつもりが、見抜かれていたようだ。

その場のアイドルの発言で俺はネットで大炎上してるらしい。

一体どうなるんだ俺の学校生活。




登場人物

雪見大福→主人公。
雪見有希→妹。病弱だが有能。
計屋はかり→最大手グループの人気一位のアイドル。クールビューティ。顔が強い。
赤森京子→最大手グループの人気アイドル。ボーイッシュ。
小浮双葉→謎のクラスメイト。
火法輪澪→バイト仲間。実は高校生グラビアアイドル。


この作品はカクヨムにも投稿しています。
https://kakuyomu.jp/works/16817330665789841745",1,102,R15 残酷な描写あり スクールラブ 青春 ヒーロー ラブコメ ギャグ 男主人公 学園 現代 アイドル ボーイッシュ クラスメイト グラビアアイドル 妹 巨乳 OVL大賞9,55485
99回聖女に陥れられ皇子に婚約破棄された公爵令嬢は輪廻し、100回目ですべてを見透かし微笑する,N6469HQ,丸山ひま。,"「本当は愛してた!!」って、今さら言われても――ねえ？

「公爵令嬢アルフィーナよ。貴女との婚約を破棄し、首はねの刑に処す！！」
「いぇーい。よろしくぽ～ん」
「何ッ！？」
聖女デボネアの企みによって罪人にされたアルフィーナ。
帝国の王族・貴族に疎まれ嫌われ、最後は許嫁だったイケメン皇子に婚約破棄されて、無実の罪で首をはねられる。
そのたびに時間が巻き戻るのだが、そのたびに腹黒聖女が立ち塞がり、９９回首がぽ～ん。
そして記念すべき１００回目。「今度もぽ～んかなあ」なんて半ば諦め気味で過ごしていると、奇妙なことに気づく。

「公爵令嬢アルフィーナよ。貴女との婚約を破棄し、首はねの刑に処す！！」
（ああ、ずっと想っていた愛しい女を処刑せねばならないなんて！！）

――えっ、今の（）は何！？

これは、人々の本音が聞こえるようになった令嬢が聖女の正体を暴いてぎゃふんと言わせ、皇子たちから溺愛されてしまうけどスルーして、自分だけの人生をつかみ取るお話。",1,101,婚約破棄 溺愛 隣国王子 ループ ざまぁ 主人公最強 復讐 心の声が聞こえる 魔法 断罪,29392
婚約者が怪我した猫と私を置いていきましたが、王子様が助けてくれました～婚約者の俺と猫のどっちが大切？そんな事、決まっています！～,N8540IL,歌月碧威,"伯爵令嬢のアンジュールは、婚約者・ワンダーと植物園に来ていた。
そこで怪我した猫を保護するが、婚約者はアンジュールが自分より猫を優先した事がおもしろくない。
野良猫を自分の馬車に乗せるのは嫌だとアンジュールと猫を植物園に置いていき、親密な関係の令嬢・シルビアのもとに行ってしまう。
すると、ちょうど王太子殿下と遭遇し助けて貰い、二人はそれがきっかけで距離を近づける。
卒業パーティーの時に突然婚約者から婚約破棄を言い渡されたけど、数分後にはとある理由から婚約者がアンジュールに無理矢理復縁を迫ってきて――。
",1,101,婚約破棄 王太子殿下 猫 ちょっとざまぁ,13867
マップスキルを駆使してダンジョン配信！　〜俺にしか見えないレアアイテムの位置を困っている配信者に教えるだけで、人気動画を量産していきます！〜,N3878IL,瀬戸夏樹,"世界各地にダンジョンが出現し、ダンジョン配信を生業にする者が現れるようになった現代。
ダンジョン配信者の雪代悟（ゆきしろ　さとる）は、スキル〈マッピング〉を活かし、人気配信者グループＤライブ・ユニットの再生数に貢献していた。
しかし、信じていた仲間暁月蓮也（あかつきれんや）の裏切りにあい、あらぬ濡れ衣を着せられた上で、グループを追放されてしまう。
失意に沈む悟だったが、かつてダンジョン探索のイロハを指導した少女、坂下榛名（さかした　はるな）に依頼されて、彼女のプロデューサーになる。
悟は持ち前のマップスキルと企画力によってＤライブ・ユニットのお株を奪う配信を連発！
Ｄライブ・ユニットからリスナーを奪い、榛名の配信をバズらせることに成功する。
そうして、榛名のチャンネルを育てたことをきっかけに、悟にはチャンネルをプロデュースして欲しいという依頼が大量に舞い込み、やがて最強のグループを立ち上げていく。
一方、悟にリスナーを奪われたＤライブ・ユニットは、再生数を落とすと共にチャンネル登録者数が激減した上、炎上地獄へと陥るのであった。
クズ度１００%の配信者どもからリスナーをゴリゴリ奪っていく痛快ダンジョン配信ファンタジー開幕！

カクヨム様でも連載中です。",2,202,R15 残酷な描写あり 年の差 ざまぁ ダンジョン配信 マッピング 男主人公 ハーレム 成り上がり 女子高生 ギャル お嬢様 恋愛あり,99868
辺境で鳥に会う,N0521IL,MKK,"『ようこそ、終着駅へ』
家庭教師として辺境にやって来たセルカは、意思疎通のとれる謎の鳥と出会った。
初生徒、辺境伯の妹オーロラは車椅子生活になって以来すっかり塞ぎ込んでいる。
セルカは謎の鳥と共にオーロラと向き合いながら徐々に隠された真実を知るようになる。
奇跡と幸福を掴む為、セルカの奮闘が始まった。

※一部は恋愛要素かなり低め。
※※閲覧は自己責任※※",1,101,R15 残酷な描写あり 身分差 年の差 女主人公 西洋 ハッピーエンド ファンタジー コメディ寄り シリアス ざまあ成分あり,157185
AIある最強陰陽師は異世界で無双する　～人工知能ちゃんと共に第二の人生を謳歌します～ ,N2880IL,出雲大吉,"国一番の陰陽師と呼ばれ、99歳で天授をまっとうした如月ユウマは目が覚めると、見たこともない森の中にいた。 
すると、脳内に声が響き、自分が20歳の時の姿で異世界に転生していたことを知る。 

『おはようございます、マスター。挨拶はそこそこにして、目の前のゴブリンを倒してください』 

その声の主は転生時に新たに手に入れたスキル【AI】であり、ユウマの新たなる人生を補助するスキルだった。 
スキルである【AI】はユウマの式神である金髪の幼女の姿をしたキツネの妖怪に乗り移ると、ユウマはAIちゃんと共に新たなる人生を歩むことにする。 

様々な問題や強敵も最強の術と最強の式神達で解決する陰陽師とAIちゃんの第二の人生が始まった。 


※★がついている話は他者視点が含まれています。",2,201,R15 残酷な描写あり 異世界転生 人工知能 ハーレム 魔法 最強 陰陽師 式神 AI 冒険者,141374
婚約破棄の報復,N8565IL,箱崎裕治,前世で勇者だった令嬢の腐った家族と腐った婚約者との話,3,302,婚約破棄 ざまぁ 前世勇者,1516
【２章完結】追放された底辺職「盗賊」はゲーム知識で無双する。一緒に召喚された先生も外れジョブだったけど効率的に成り上がります,N2551IK,ケンノジ,"潮崎湊は、美人教師と一緒に異世界に英雄として召喚された。 
……はずだったのだが、能力は一般人並みで、しかも湊は「盗賊」、先生は「呪術使い」という外れ職。
弱スキルにゴミステータス。 英雄ではないことがすぐにわかると、二人は雑魚として城から追い出されてしまう。 
そんな中、湊はこの世界がやり尽くした超人気ゲーム『ガーディアンズ』の世界だと気づく。 
一般的に外れだとされる職業「盗賊」と「呪術使い」は、組み合わせたら最強の職業であると知っていた。
湊は持ち前のゲーム知識をフル活用し、効率よくレベルを上げ先生とともに強くなる。
二人とも底辺職なのに格上を撃破しまくる最強コンビとなっていく。
そんなＳ級美人教師との異世界冒険生活。

※他サイトでも連載中です",2,201,R15 残酷な描写あり 異世界転移 ラブコメ 先生ヒロイン ゲーム世界 無双 レベル上げ スキル 成り上がり ステータス イチャイチャ,115240
亡くなった夫が息子に遺したビデオレターを観たら、なみだなみだの展開を期待していた私たちの気持ちは、大きく裏切られた,N9273IL,Ｑ輔,"まあ、見ていなさいって。あんたの惚れた女は、ちょっとやそっとじゃ負けないっつーの。
",3,301,日常 ホームドラマ ほのぼの 女主人公 和風 現代 群像劇 家族 親子 反抗期 思春期 神道 宮大工,3835
仕組まれた円満な婚約破棄,N1247HW,和執ユラ,"　ギレット伯爵令嬢ソフィアは学園の一室で、婚約者パトリック・アッカー侯爵令息から謝罪と共に婚約解消の話を切り出された。半年程前に学園に編入して来た元平民の男爵令嬢とパトリックが、真実の愛を見つけたと恋人になったためだ。ソフィアは婚約者の不貞に取り乱すことなく笑顔で話を受け、そのことを屋敷で義弟デュークに報告する。
　真実の愛を貫くために婚約の解消を申し出たパトリックは、すべてが仕組まれていたことを、思い通りに婚約解消にはならないことを、そしてこの状況をお膳立てしたのが誰であるかを、この先知ることはないだろう。
※誤字報告不要",1,101,R15 ブラコン 義弟 恋愛 婚約破棄,7800
なんか黄金とかいう馬鹿みたいなスキルを得たのでダラダラ欲望のままに金稼いで人生を楽しもうと思う,N7159IL,漲りすぎたバゼルギウス,"　今の時代においてもっとも平凡な大学生の一人の俺。
卒業を間近に控え、周りの学生たちは冒険者としてのキャリアを選ぶ中、俺の夢はただひとつ、「悠々自適な生活」を送ること。

金も欲しいし、時間も欲しい。
程々に働いて程々に寝る……そんな生活だ。

しかし、それも容易ではなかった。100年前の事件によって。

そのせいで現代の世界は冒険者が主役の時代となっていた。
ある日、半ば興味本位で冒険者登録をしてみた俺は、予想外のスキル「黄金」を手に入れる。

「はぁ？」

俺が望んだのは平和な日常を送るためだが！？


悠々自適な生活とは程遠い、忙しない日々を送ることになる。",2,202,伝奇 日常 異能力バトル 冒険 男主人公 現代 ほのぼの 魔法 職業もの ダンジョン 超能力 神 お金稼ぎます,66595
どうしてこうなった　～ざまぁな結果に終わった転生ヒロインは、内政チートでのんびりまったりなスローライフを送る！　ハズだった～,N0503IM,昼型熊,異世界転生！　攻略完了！　何故かざまぁ！　でも、内政チートでスローライフ！　そんな異世界チートヒロインの物語。,3,302,異世界転生 乙女ゲーム チート 転生ヒロイン 内政,6463
十歳からやり直す王女は反乱軍の魔法士だった少年を従者にする,N8220IK,日和るか,シャクラスタン王国の第六王女アイリスは十歳の時から国の安寧を女神に祈る“祈り姫”を務めていた。ところが十七歳のある日クーデターが起きて彼女は守護騎士と逃亡を図った。しかし反乱軍の魔法士に見つかってしまい投降を求められる。アイリスは自死を選び魔法士の目の前で心臓を刺したのだが……。不思議な声に導かれて気が付けば十歳の誕生日に巻き戻っていた。“祈り姫”に就任する日だ。アイリスはクーデターの阻止を決意する。“祈り姫”になって市井に出た時にある孤児と出会う。それは自分を拘束しようとした反乱軍の魔法士の青年だった。まだ少年だった彼を魔法士の道を歩ませずに、守護騎士を兼ねた自分の従者にすると決めて彼を引き取る。反乱軍の一員だった彼はアイリスに忠誠を誓って“祈り姫”の側で生きてゆく。,1,101,タイムリープ やり直し 巻き戻し 王女 従者 魔法 ハッピーエンド,111979
【コミカライズ】俺、勇者じゃないですから。～VR世界の頂点に君臨せし男。転生し、レベル１の無職からリスタートする～,N7230GM,心音ゆるり,"文春オンラインにてコミカライズ連載中！！
コミックは現在５巻まで発売中！
書籍１巻も発売中です！

本編完結！
アフターストーリー連載中！

『なぜBランクダンジョンすら攻略できていない！？　どうして二次職が上級職と呼ばれている！？』

　VRMMO『テンペスト』。そのゲームの世界で、誰も成し遂げられなかった偉業を達成した男がいた。最終ボスの単独討伐――それはあまりの難易度ゆえに誰もが諦めたバトルだった。

　その後SR(エスアール)は、突如現れた選択肢『帰還』と『転生』のうち『転生』を選ぶ。「きっと強くてニュー〇ームみたいな物だろう」そんな甘い考えは、早々に崩れ去る。転生は、地球とは別の世界に生まれ変わるということだったのだ。",2,201,R15 残酷な描写あり 異世界転生 主人公最強 男主人公 ハーレム 知識チート ゲーム世界 俺TUEEE スキル ステータス レベル 仲間育成 ハッピーエンド ファンタジー 成長 書籍化 コミカライズ,636609
【書籍化決定】 大魔導士と呼ばれた侯爵令嬢　　世界が汚いので掃除していただけなんですけど…,N1185HV,k1you,"芙蓉舞衣は、異世界の侯爵令嬢スカーレット・ノースマークに転生した。
銃と魔法の異世界に生まれた彼女が手に取ったのは、銃火器でも魔法の杖でもなく箒？
「この世界、なんでこんなに汚いの！？」
世界に蔓延る黒いモヤモヤさん相手に箒を構えて立ち向かいます。でも、ただの汚れではないようで…？

エグイ描写をする予定はありませんが、運悪く死亡する人は出てきます。
設定上、銃が出てきますが、ミリタリー要素はほぼありません。特に、主人公は銃を使いません。",2,201,残酷な描写あり 異世界転生 女主人公 チート 魔法 ほのぼの,1342650
ティアムーン帝国物語　～断頭台から始まる、姫の転生逆転ストーリー～,N8920EX,餅月望,"２０２３年、アニメ好評放映中。
書籍版：１～１４巻発売中。 
コミックス：１～７巻発売中・WEBにてコミカライズ連載中！
スピンオフ漫画「ティアムーン帝国物語～従者たちのお茶会～」１巻発売中！　WEB連載中！
舞台版DVD「ティアムーン帝国物語　THE STAGE」Ⅰ、Ⅱともに絶賛発売中。
１１月にも舞台化します！
ドラマCD１，２　絶賛発売中。

「なぜ、こんなことに……？」
大国ティアムーン帝国の皇女、ミーア・ルーナ・ティアムーンは断頭台(ギロチン)の上でつぶやく。
彼女を取り囲む観衆の顔には、例外なく怒りの色があった。
重税に耐えかねた民衆の革命、その手にかかって、ミーアは断頭台で処刑されてしまう。
けれど次に目が覚めた時、彼女はベッドの上に寝ていた。
八年も前、まだ子どもだった頃の姿で……。
一瞬、夢か？　と安心しかけるミーアだったのだが、その枕元には彼女自身が綴った血染めの日記帳が転がっていた。
　豪奢な皇女の部屋に、ミーアのあられもない悲鳴が響いた。

　これは、やり直しの物語。
　それほど悪辣ではなかったけれど、他人の痛みにも空腹にも思いを致すことができなくて……それを知った時にはすべてが手遅れだった姫殿下。過去の自分へと逆行転生した彼女は、血染めの日記帳と自らの記憶をもとに、西へ東へ奔走する。
　斜陽の帝国の未来を救うため？
　内戦により命を落とす多くの兵士のため？
　民衆を飢饉から救うため？

　否、彼女の目的はただ一つ。
「すべてはギロチンの運命を回避するために！」
TOブックスさまより書籍化決定いたしました。


※COMICOチャレンジに投稿していた「ティアムーン帝国物語～断頭台から始まる姫の逆転ストーリー～」を、吹き出し無しの小説形式にリメイクして投稿して来ましたが、COMICOさんの方は完結。その後、書籍化に伴い削除いたしました。",1,101,R15 悪役令嬢 逆行転生 ラブコメ タイムリープ バカワイイお姫様 眼鏡イケメン イケメン王子（天才） イケメン王子（努力） 内政（他力本願） 学園もの 忠義のメイド 書籍化 ＦＮＹ ギロちん,2988202
リンドウの花束はもういらない。今さらですわ、伯爵様,N8963IK,悠木　源基,"ソフィーネが丘に立って麦浪(ばくろう)を眺めていると、そこへ一人の紳士が現れて、彼女にリンドウの青い花束を差し出した。
　それはかつて彼女が好きな花だった。しかし彼女が今好きな花は違う花だった。だからその花束を受け取らなかった。
　そして彼女は、もう二度とここへは来ないで下さいと元夫だった伯爵に告げて、彼女は建物の中へ入ろうとした。
　するとその時鮮やかな赤毛の少女が飛び出してきて、母親に抱っこをせがんだ。
　その様子を、伯爵は驚愕の表情で見つめていた。そしてソフィーネはそれに気付かぬ振りをして、娘を抱き上げながら建物の中へ消えていった。心の中で、
「これが六年前に私を捨てたあなたへの、私の細やかな仕返しよ」
　と呟きながら。
　",1,101,R15 悲恋 ヒストリカル 異世界恋愛 白い結婚 愛人 離縁 シングルマザー 断罪劇 勘違い 激しい後悔 微ざまぁ ハッピーエンド,26128
【完結・続編有】死に損ない令嬢は、笑ってすべてを覆す。,N9162IK,猫石,"アンリエッタは殺されかけた。

婚約者と親友に騙されて。

湖に沈みゆく悲しみの中で、儚くなる瞬間、頭の中に落ちてくる記憶の中で

ここが、前世で読んでいた小説の中の世界だと気が付いた。

それは、あまりにもご都合主義展開なハッピーエンドの物語。

（そんなの許さない）

全てを思い出したアンリエッタは、話を覆すことにした。


***御礼***
ジャンル別日間ランキング2位→1位
日間ランキング2位→1位
本当に！！！ありがとうございます！！
続おまけ話追加しました。（思った物とは違うかもしれません）



★いつもの作者の息抜き作品です。
★ゆる・ふわ設定ですので気楽にお読みください。
★誤字脱字がひどい作者です。　申し訳ありません。
★アルファポリス様にも公開しています。",1,101,異世界転生 女主人公 ざまぁ 婚約破棄 死に損ない くそ婚約者 くそ幼馴染 ジャパニーズホラー風 本気でやり返す ハッピーエンド 笑って幸せになる！ 自力でやり返す 猫被り令嬢 自分で幸せを掴む 思ったよりも大物だ,18594
流刑地公爵妻の魔法改革～ハズレ光属性だけど前世知識でお役立ち～,N0721IM,富士とまと,"光魔法なんて光るだけで攻撃もできないし回復もできないし、役に立たないハズレだ！侯爵家の恥さらしめ！と親に見捨てられ、流刑地と言われる魔物がたくさん出て危険な上に貧しい公爵領に嫁がされた。
死にかけて日本人だった前世を思い出し「光魔法」を改革していく。
ところで、白い結婚で３年後離婚される予定なんですけど、まだ旦那様の顔を見たことないんですよ。
まぁいっか。ギルドに行って、推し活してこようっと。

＊無自覚チート「あれ？私、やっちゃいました？」＊すれ違い恋愛「お前ら早くくっついちまえよ！」＊光は明るくするだけじゃないと、お気づきですね？そう、あれもこれもそれも！できちゃいますよ！
",2,201,異世界転生 冒険 ほのぼの 女主人公 西洋 中世 チート 内政 魔法 ハッピーエンド,47704
悲恋の物語の裏側で転生公女は初恋を手に入れる,N7564IL,ニノハラ　リョウ,"　とある世界、とある国の公女として転生したわたくしは、ようやっと自分が転生した世界に気付いた。
　一人の儚げな村娘を巡って争う二人の男達を見て。
「……ジゼルじゃん」
　その呟きは誰にも届かないが、わたくしは目の前のこの状況を見て考える。……浮気する婚約者、いらなくない？
　わたくしのこの結論が辿る物語の結末は、わたくしの為のハッピーエンド。",1,101,異世界転生 女主人公 ハッピーエンド 精霊 浮気 婚約破棄 初恋 少しだけざまぁ,9112
