title,ncode,writer,story,biggenre,genre,keyword,length
転生したらモブ顔の癖にと隠語で罵られていたので婚約破棄します。,N7859IL,佐倉えび,"義妹と婚約者の浮気現場を見てしまい、そのショックから前世を思い出したニコル。
そのおかげで婚約者がやたらと口にする『モブ顔』という言葉の意味を理解した。

平凡な、どこにでもいる、印象に残らない、その他大勢の顔で、フェリクス様のお目汚しとなったこと、心よりお詫び申し上げますわ――

＊アルファポリス様にも掲載しています。",1,101,R15 異世界転生 婚約破棄 微ざまぁ ハッピーエンド 溺愛,8472
【書籍化&amp;コミカライズ】悪女よ、皇妃の座を掴め！ 〜物語のスタートは、悪女が毒杯を飲み干してから〜,N8966IL,曽根原ツタ,"「ただいまより、罪人ウィステリアの死刑を執行する！！！」

　公爵令嬢ウィステリアは、未来の王太子妃として教育を受けていた。しかし、王太子妃の座を狙っていた王女の陰謀により、彼女を殺そうとした犯人に仕立てられてしまう。
　公開処刑が行われたが、ウィステリアは笑顔を浮かべたまま毒杯を飲んだ。──舌の裏に忍ばせておいた解毒剤と一緒に。

　この物語は、悪女が毒杯を飲み干してからが──始まりである。

★全てを失った悪女が、処刑後に一からやり直し、大陸一の巨大な皇国の皇妃を目指すお話。 
★短編版：日間総合１位（2023-10-23昼、夜）（2023-10-24朝、昼）
★連載版：日間総合２位（2023-10-24）
連載にあたり、短編版『物語のスタートは、悪女が毒杯を飲み干してから』をサブタイトルに変更しました。
★書籍化&amp;コミカライズ企画進行中です。詳細についてはまた改めて報告させていただきます。

アルファポリス様でも更新しております。",1,101,R15 身分差 悪役令嬢 処刑 断罪 やり直し ざまぁ 皇妃,68463
公女フェリシティの生,N0812IM,和執ユラ,"※『シャーロット王女の死』の続編ですが、勢いで書いたおまけ的なものです。

　国を捨て、シャーロットという名前も捨て、魔術大国ファレルデイン帝国のアディレノン公爵家に養子入りし、公爵令嬢となったフェリシティ。彼女は恋人のエセルバートや新しい家族と共に穏やかな生活を送っていた。
　そんなある日、とある少女からの襲来を受ける。

「お初にお目にかかりますわ。モニーク・セヴァリーと申します」

　モニークは公爵夫人の姪で、エセルバートに恋をしているらしかった。

※R15は念のためです。",1,101,R15 恋愛 魔術,19312
異世界は猫と共に　～システムエンジニアは失われた古代の魔法理論を解析し、魔法具界に革命を起こす,N3803IK,ぱげ,"◆9/12新連載開始、毎日更新中！　総合四半期１位、月間１位獲得 ◆
※文章再校正完了
”そこそこ”、”まずまず”、”ぼちぼち”、”まあまあ”……
　地方にあるそこそこの私立大学を卒業し、東京にあるまずまずの大手SIerに就職、SEとして働く「ザ・中の上」こと松本勇34歳(バツイチ)のこれまでの人生を表すとしたら、そんな言葉だろう。
　しかし愛猫の織姫（ブリティッシュショートヘアー）といつも通りの生活を送っていた彼の”そこそこの”人生は、ある日一瞬にして終わりを迎えるのだった。
　転移者が定期的に訪れると言う異世界へ、愛猫と共に転移してしまった勇。
　特殊な力を持つ転移者を巡って過去に起きた悲劇を教訓に、転移者は順番制で貴族家に引き取られ庇護下に置かれると言う。
　ところが、授かったスキルが使えないと判断された勇は、本来引き取るべきだった侯爵家から抜け道のようなルールで体よく拒否され、貧乏子爵家へと引取られる事となってしまうのだが……。　
　これは、愛する猫と温かい子爵家の人たちに囲まれ、実は神スキルだった力とプログラム知識を組み合わせて、失われた古代魔法の理論を復活させ、魔法具界の革命児となった男の物語。
★
　皆様のお力で、2023年10月17日〜総合の四半期ランキングで１位となりました！
　連載開始1ヶ月ちょっと、想像すらしていませんでした……。
　皆様の応援あってこそです。本当にありがとうございます！！そして引き続きよろしくお願いいたします！
備忘：2023年10/9～10/31…月間１位（総合）|　2023年9/24～10/13…日間１位、2023年9/26～10/21…週間１位、2023年10/5～11/2…月間１位 （いずれもハイファンタジー）",2,201,R15 異世界転移 男主人公 魔法xプログラム もふもふ 猫 生産系・クラフト系 魔法具・魔導具 微ざまぁ おっさん・アラサー 貧乏貴族 領地発展 ユニークスキル 成り上がり ESN大賞５ コミックスピア大賞3 OVL大賞9,296161
「そりゃ、虐げていた相手を強国に嫁がせたら、こうなりますね」,N0860IM,イチイ アキラ,"婚礼の夜。
花嫁は尋ねられた。望みはあるかと。
「クシアータ王の首を」
そして願った。
それは花嫁の父の首を。

――祖国の滅びを。

少々血生臭いです。苦手な方はお気を付けて。",1,101,R15 残酷な描写あり 戦争 将軍 首切り ざまぁ 双子 仇討ち 花街 復讐,6385
再婚したいと乞われましても困ります。どうか愛する人とお幸せに！,N5114IK,江本マシメサ,"元夫だった男は、平民出身の愛人を溺愛し、妻であるベアトリスを蔑ろにしていた。
ふたりの結婚は先代公爵だった祖父が決めたもの。
祖父が亡くなると、離婚するように命令する。
離婚し、自由になったベアトリスは、祖父が遺した森の奥地にある工房での暮らしを始める。
もう誰にも邪魔されない人生を送れるんだ、と思っていたのに、元夫が再婚してほしい！と迫ってきて……。　
もちろん、再婚なんか天と地がひっくり返ってもいたしません。
第二の人生を謳歌する魔法薬師の物語。",1,101,R15 残酷な描写あり ヒストリカル 異世界 追放 薬師 魔法薬 調合 スローライフ 薬草 女主人公 ファンタジー モフモフ 料理,112214
逆行転生、一度目の人生で婚姻を誓い合った王子は私を陥れた双子の妹を選んだので、二度目は最初から妹へ王子を譲りたいと思います。   ,N7433IK,みゅー,"アリエルは幼い頃に婚姻の約束をした王太子殿下に舞踏会で会えることを誰よりも待ち望んでいた。

ところが久しぶりに会った王太子殿下はなぜかアリエルを邪険に扱った挙げ句、双子の妹であるアラベルを選んだのだった。

失意のうちに過ごしているアリエルをさらに災難が襲う。思いもよらぬ人物に陥れられ国宝である『ティアドロップ・オブ・ザ・ムーン』の窃盗の罪を着せられアリエルは疑いを晴らすことができずに処刑されてしまうのだった。

ところが、気がつけば自分の部屋のベッドの上にいた。

こうして逆行転生したアリエルは、自身の処刑回避のため王太子殿下との婚約を避けることに決めたのだが、なぜか王太子殿下はアリエルに関心をよせ……。
二人が一度は失った信頼を取り戻し、心を近づけてゆく恋愛ストーリー。




※9/28  『B組なろうランキング。きっと面白いのはあるはず！ 隠れた良作を探せの件』
で、総合一位をいただきました。",1,101,R15 異世界転生 悲恋 逆行転生 女主人公 西洋 中世〜近世 ハッピーエンド ざまぁ 王太子殿下 溺愛,121045
トラ転令嬢、傷モノになったはずが婚約者から溺愛が始まりました！？,N1429IG,黒乃きぃ,"レティシア・オルレアンの前世はトラ転したアラサー社畜。

トラ転のきっかけは無鉄砲にも見知らぬ幼児を助けようとした事。
今世も無鉄砲さはそのまま、どデカい傷を負った傷モノ令嬢に。

流石に婚約破棄か…と思いきや、溺愛が始まりました！？
",1,101,異世界転生 年の差 ラブコメ ほのぼの 女主人公 西洋 ハッピーエンド トラ転 溺愛 ヘタレヒーロー ESN大賞５ キネノベ大賞８ キルタイム異世界大賞 集英社小説大賞４ ネトコン11,25759
【第三部開始！】「そういえば俺、魔術師だったわ」　～アラサーになってから転生してたことに気付いたので、異世界と地球を行ったり来たりしながらだらだら冒険者生活する～,N2448IL,しんこせい(『植樹』第一巻好評発売中！),"どこにでもいる普通のサラリーマンである鏡平。
「そういえば俺、魔術師だったわ」
彼はある日、とあるきっかけから異世界で魔術師をしていた前世の記憶を思い出す。
けれど魔法の力など、現代日本では使う場所がない。
途方に暮れかけ、物は試しと転移魔法を使ってみると……普通に元の世界に戻れた。
だが自分の持つ力の危険性を知られると、どちらの世界でも目をつけられかねない。
それなら何事もほどよくやっていこうと、平改めタイラーは異世界で気ままに冒険者生活をすることに決めたのだった。カクヨムでも公開しています。
【最高日間ハイファンタジー、週間ハイファンタジー1位、日間総合2位、週間総合4位獲得。皆様の応援のおかげです、ありがとうございます！】",2,201,R15 残酷な描写あり 異世界転生 異世界転移 中世 剣 魔法 ノマド 主人公最強 気まま サラリーマン まったり スローライフ 冒険者 魔術師 地球 異世界 行ったり来たり のんびり,97540
婚約破棄されて娼館送りにされる直前で助け出されました,N9387IL,高月水都,"婚約破棄されて、冤罪で娼館に送られる予定だったティファーナ・アルデン。だけど、その途中で王家の暗部。通称影さんに助けられて……。
",1,101,残酷な描写あり 悪役令嬢 婚約破棄 冤罪 暗部,3355
